-----------  Configuration Arguments -----------
adam_epsilon: 1e-06
batch_size: 16
device: gpu
learning_rate: 4e-05
logging_steps: 10
lr_scheduler: 1
max_seq_length: 128
max_steps: -1
model_name_or_path: /home/xianglingyang/pretrained_models/paddle/squeezebert
model_type: squeezebert
num_train_epochs: 5
output_dir: ./tmp/QQP/
save_steps: 2000
seed: 5
task_name: QQP
warmup_proportion: 0
warmup_steps: 0
weight_decay: 0.0
------------------------------------------------
2021-08-19 15:45:45,295-INFO: unique_endpoints {''}
2021-08-19 15:45:46,298-INFO: unique_endpoints {''}
W0819 15:45:46.408764 31020 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 10.1, Runtime API Version: 10.1
W0819 15:45:46.413388 31020 device_context.cc:422] device: 0, cuDNN Version: 7.6.
[32m[2021-08-19 15:45:50,572] [    INFO][0m - Weights of SqueezeBertForSequenceClassification not initialized from pretrained model: ['classifier.weight', 'classifier.bias'][0m
global step 10/113705, epoch: 0, batch: 9, rank_id: 0, loss: 0.618375, lr: 0.0000399965, speed: 3.8055 step/s
global step 20/113705, epoch: 0, batch: 19, rank_id: 0, loss: 0.614629, lr: 0.0000399930, speed: 4.5103 step/s
global step 30/113705, epoch: 0, batch: 29, rank_id: 0, loss: 0.496545, lr: 0.0000399894, speed: 4.5701 step/s
global step 40/113705, epoch: 0, batch: 39, rank_id: 0, loss: 0.347802, lr: 0.0000399859, speed: 4.7315 step/s
global step 50/113705, epoch: 0, batch: 49, rank_id: 0, loss: 0.523011, lr: 0.0000399824, speed: 4.6509 step/s
global step 60/113705, epoch: 0, batch: 59, rank_id: 0, loss: 0.667851, lr: 0.0000399789, speed: 4.6141 step/s
global step 70/113705, epoch: 0, batch: 69, rank_id: 0, loss: 0.444946, lr: 0.0000399754, speed: 4.6827 step/s
global step 80/113705, epoch: 0, batch: 79, rank_id: 0, loss: 0.590452, lr: 0.0000399719, speed: 4.6358 step/s
global step 90/113705, epoch: 0, batch: 89, rank_id: 0, loss: 0.460238, lr: 0.0000399683, speed: 4.6044 step/s
global step 100/113705, epoch: 0, batch: 99, rank_id: 0, loss: 0.567089, lr: 0.0000399648, speed: 4.6502 step/s
global step 110/113705, epoch: 0, batch: 109, rank_id: 0, loss: 0.516912, lr: 0.0000399613, speed: 4.6460 step/s
global step 120/113705, epoch: 0, batch: 119, rank_id: 0, loss: 0.572717, lr: 0.0000399578, speed: 4.7130 step/s
global step 130/113705, epoch: 0, batch: 129, rank_id: 0, loss: 0.391867, lr: 0.0000399543, speed: 4.5982 step/s
global step 140/113705, epoch: 0, batch: 139, rank_id: 0, loss: 0.432546, lr: 0.0000399507, speed: 4.8139 step/s
global step 150/113705, epoch: 0, batch: 149, rank_id: 0, loss: 0.507792, lr: 0.0000399472, speed: 4.5319 step/s
global step 160/113705, epoch: 0, batch: 159, rank_id: 0, loss: 0.382431, lr: 0.0000399437, speed: 4.5469 step/s
global step 170/113705, epoch: 0, batch: 169, rank_id: 0, loss: 0.314305, lr: 0.0000399402, speed: 4.3010 step/s
global step 180/113705, epoch: 0, batch: 179, rank_id: 0, loss: 0.551380, lr: 0.0000399367, speed: 4.7137 step/s
