ITEM:	517 145 568 162
DATE:	143 112 198 129
BRAND:	144 140 208 155
SUMMARY	143 183 220 198
OF	229 184 253 195
PROJECT:	263 184 350 198
Attached	416 186 505 199
See	370 186 406 197
FUNDING:	135 404 227 418
SIGNATURES:	132 559 257 574
4514cbta	128 824 217 838
PROJECT	430 74 509 89
BRIEF	518 75 573 90
June	254 115 301 129
1,	308 115 330 129
1990	342 115 387 130
General	230 142 308 157
Merchandising	318 142 461 159
Nonspecific	232 155 351 170
Package	591 147 666 162
Fixture	678 147 755 162
Circle-K	763 148 856 163
Convenient	590 161 700 174
Stores	709 161 778 175
SUPPLIERS	139 251 240 265
BEING	250 253 307 267
CONSIDERED:	317 253 434 268
Chicago	139 278 219 295
Show	229 281 275 294
Display	137 306 220 321
Equation	227 307 316 324
Chicago	139 335 216 349
Display	227 335 305 352
Robert	139 360 204 377
Nielson	212 362 292 377
&	304 365 317 378
Associates	322 363 437 380
1990	139 430 181 445
Customized	192 432 303 447
Merchandising	311 433 455 451
Services	137 459 225 474
ESPNS	258 461 303 474
REQUESTING	132 598 246 615
MANAGER	253 599 333 614
MERCHANDISING	132 640 275 657
MANAGER	286 642 364 656
GROUP	129 682 186 697
PRODUCT	198 684 276 698
DIRECTOR	286 684 374 699
PURCHASING	128 725 242 740
DEPARTMENT	249 728 360 742
RETURN	125 768 195 781
TO:	204 770 237 783
REQUESTING	258 771 370 785
MANAGER	377 771 460 785
462231045	1 953 103 967
PRODUCED	5 969 91 983
FROM	104 969 152 982
B&W	162 968 200 983
WEB	208 969 246 982
SITE	258 968 304 982

DATE:	13 166 62 179
DEPARTMENT:	188 165 293 179
Type	597 208 637 221
EQPR	660 205 734 222
B&W	31 32 119 102
QUALITY	772 32 871 102
Implement:	283 648 379 661
Date	646 647 687 661
632120763	830 771 859 893
QUALITY	186 46 311 66
IMPROVEMENT	317 45 524 66
SUGGESTION	531 45 711 67
OUR	157 80 207 94
MISSION	212 78 304 92
IS	309 77 333 92
SUPERIOR	337 78 447 92
CONSUMER	448 77 574 94
SATISFACTION	578 77 744 92
Highest	162 95 230 109
Quality.	236 94 304 109
Teamwork,	308 94 410 108
Do	414 94 440 108
Right	442 94 492 109
Things	494 94 555 108
Right	557 94 603 108
The	606 94 643 108
First	646 94 688 108
Time	691 94 738 108
RESEARCH	299 119 414 136
&	419 119 438 137
DEVELOPMENT	443 119 601 136
Quality	652 149 717 163
Coord	725 149 779 163
Only	782 151 824 162
June	69 165 111 179
21,	116 165 145 178
1993	156 165 191 178
R&D	328 163 363 177
Library	366 163 431 180
Carol	188 194 238 205
S.	245 191 263 205
Lincoln	272 193 341 207
407-	192 219 228 234
64-	227 219 255 233
3484	254 221 295 235
SUBMITTED	14 194 98 207
BY:	104 194 133 205
SUBMITTER'S	14 223 116 234
SS#:	123 223 161 233
Date	597 180 637 191
Rec'd	643 179 692 192
QIP	595 193 627 206
Log	633 193 665 206
#1	670 193 694 206
Status	595 221 654 234
(1993)	664 222 719 235
Keywords	597 236 675 249
(1993)	682 236 737 250
6/	716 168 748 197
21/	740 168 782 195
93	780 170 808 192
93-	709 190 755 210
0301	757 191 822 209
SUGGESTION:	14 279 115 292
(Describe	124 281 211 295
Current	217 279 283 293
Situation	291 279 379 292
and	384 279 413 292
Idea)	419 278 469 292
The	70 306 99 320
current	107 309 173 322
system	179 309 241 320
of	245 307 267 322
managing	272 309 350 323
records	356 309 425 322
is	430 307 450 320
too	456 307 488 320
complex.	493 309 566 322
The	585 307 616 321
trend	623 306 669 321
seems	678 309 724 322
to	730 307 754 320
be	758 307 778 321
increasingly	786 307 897 322
specific,	44 332 127 346
when	133 334 174 347
we	181 334 204 347
should	211 332 270 345
be	272 332 295 347
getting	300 334 370 349
more	374 335 414 348
general.	419 335 494 349
Right	509 332 562 349
now,	566 334 603 348
people	610 335 671 349
must	675 335 717 346
work	721 335 763 348
to	767 332 787 347
understand	795 334 891 348
the	45 360 74 374
system.	80 360 144 375
We	160 360 183 374
must	188 362 229 376
spend	236 362 287 377
too	291 362 322 376
much	328 362 370 376
time	375 360 412 375
adninistering	419 362 540 379
the	548 360 577 375
system,	581 362 650 375
labeling	660 360 742 377
and	749 362 780 376
cleaning	786 362 863 376
our	41 391 77 402
files.	80 388 135 402
Complying	152 388 240 405
is	248 390 266 404
a	272 390 286 407
real	291 391 329 404
burden,	337 390 402 405
both	410 390 448 405
for	456 391 488 405
the	493 391 522 405
individual	530 390 622 405
and	629 391 658 404
for	669 390 696 404
the	706 388 737 402
records	742 390 808 404
coordinators.	41 416 162 430
Describe	14 476 91 491
Possible	97 476 174 490
Solutions	179 476 267 490
And	272 478 304 491
Benefits	311 478 395 489
1.	41 500 60 515
Drop	70 503 111 517
the	115 501 148 518
category	152 503 230 518
specifications	234 504 364 519
altogether.	372 501 475 516
2.	40 529 60 543
Use	69 528 102 545
moregeneral	106 529 208 544
categories.	234 531 339 546
hote:	41 553 93 574
I	101 552 123 572
have	129 553 177 574
passed	199 554 272 581
this	283 554 325 578
to	337 554 356 574
Scott	368 549 422 574
Appleton	429 549 530 577
for	540 554 572 581
the	577 556 614 574
task	627 554 687 575
to	767 550 787 575
use	804 557 858 575
in	56 575 85 588
streamlining	93 575 204 597
the	220 575 258 589
records	267 575 350 592
management	359 575 507 597
force	694 550 762 588
program.	517 577 623 601
PROFIT	14 591 74 604
IMPROVEMENT:	80 591 190 605
(If	199 592 230 605
Applicable)	236 591 342 606
RESPOND	14 647 82 662
HERE	87 647 129 661
☐	398 644 425 664
Yes	421 647 454 660
☐	475 644 498 664
No	498 648 520 659
☐	536 642 564 663
Pending	564 647 629 660
Approval	70 874 148 891
Signature/	157 876 249 890
Date	249 876 291 890
Responder/	551 874 648 888
Date	645 876 690 887
Sign	345 877 380 888
&	383 876 393 887
Print	397 876 433 889
Names)	438 877 479 888
(See	370 891 398 902
Instructions	402 892 482 903
On	489 891 506 902
Back)	509 890 545 903

TO:	127 115 159 130
FROM:	127 141 187 158
SUBJECT:	127 193 212 211
92039708	911 767 928 834
SUBMISSION	645 119 766 132
DATE	770 119 827 133
MAY	598 147 640 160
27	644 147 667 161
☐	690 145 726 163
JUN	598 165 636 182
24	640 166 663 181
☐	689 165 726 185
AUG	769 147 811 161
26	812 148 839 163
☐	851 147 887 164
OCT	769 165 810 182
07	812 166 836 183
☐	850 166 887 186
MAVERICK	244 196 346 211
SPECIALS-	350 197 456 212
PROGRESS	458 197 566 211
REPORT	570 198 649 213
R.	246 117 263 130
B.	269 116 286 130
SPELL	290 116 346 130
EFFECTIVENESS	125 271 283 286
OF:	289 270 320 287
Pre-	336 271 375 286
Sell	374 270 411 287
Booklet	420 271 505 286
/Coupon	503 272 584 287
Maverick	592 272 692 287
/Harley	690 274 757 289
B1	765 272 785 287
G1	787 275 814 289
F	815 277 826 291
(Report	133 292 200 307
on	205 295 228 306
May	233 293 271 307
27	274 293 301 306
only)	305 293 350 311
PRE-	125 313 171 327
SELL	169 313 217 327
BOOKLET/	124 457 222 474
COUPON	222 457 307 474
MAVERICK/	124 605 230 619
HARLEY	229 605 303 619
B1	309 605 328 620
G1	331 606 355 619
F	358 606 368 619
COMPETITIVE	135 746 266 759
PROMOTIONAL	271 747 411 761
ACTIVITY	416 747 503 761
(Report	131 764 200 779
on	206 765 229 779
May	232 764 269 781
