type-1	type-2	type-3
世界地区		
世界地区	中国地区	
世界地区	国家	
区域场所		
区域场所	住宿场所	
区域场所	楼盘住宅	
区域场所	餐饮场所	
区域场所	交通场所	
区域场所	景点	
区域场所	网上组织机构场所	
组织机构		
组织机构	居民服务机构	
组织机构	金融组织机构	
组织机构	体育组织机构	
组织机构	教育组织机构	
组织机构	国家机关	
组织机构	企事业单位	
组织机构	演艺团体	
组织机构	医疗卫生机构	
组织机构	军事组织机构	
饮食		
饮食	饮品	
饮食	菜品	
品牌		
品牌	个护用品品牌	
品牌	汽车品牌	
品牌	手机品牌	
文化		
文化	奖项赛事活动	
文化	姓氏与人名	
文化	政权朝代	
文化	民俗	
文化	制度政策协议	
文化	语言文字	
虚拟事物		
虚拟事物	虚拟物品	
位置方位		
作品与出版物		
作品与出版物	计算机软件	
作品与出版物	小说	
作品与出版物	作品IP	
作品与出版物	诗歌	
作品与出版物	图书	
作品与出版物	音乐	
作品与出版物	舞蹈	
作品与出版物	文件	
作品与出版物	美术	
作品与出版物	刊物	
作品与出版物	影视动漫作品	
作品与出版物	影视动漫作品	动漫作品
作品与出版物	影视动漫作品	视频节目
作品与出版物	影视动漫作品	影视作品
作品与出版物	游戏	
时间阶段		
时间阶段	特殊日	
时间阶段	地质年代	
生物		
生物	微生物	
生物	植物	
生物	动物	
物体与物品		
物体与物品	设施	
物体与物品	物品	
物体与物品	物品	电子电器产品
物体与物品	物品	兵器
物体与物品	物品	衣物饰品
物体与物品	物品	手机
物体与物品	物品	美容美发用品
物体与物品	物品	汽车
事件		
术语		
术语	医药学术语	
术语	医药学术语	疾病损伤
术语	医药学术语	动物疾病
术语	医药学术语	药物
术语	医药学术语	医疗美容项目
术语	化学术语	
术语	军事术语	
术语	建筑术语	
术语	经济术语	
术语	政治术语	
术语	交通术语	
术语	教育用语	
术语	教育用语	学科
术语	教育用语	专业
术语	教育用语	学历学位
术语	体育术语	
术语	体育术语	体育运动项目
术语	农业学术语	
术语	法律术语	
术语	法律术语	罪名
术语	法律术语	法律法规
术语	测绘学术语	
术语	生物学术语	
术语	生物学术语	动物体构造
术语	生物学术语	植物病虫害
术语	水利科技术语	
术语	赌博博彩用语	
术语	赌博博彩用语	彩票
术语	宗教术语	
术语	电力术语	
术语	钓鱼术语	
术语	社会学术语	
术语	天文学术语	
术语	天文学术语	星体
术语	天文学术语	星座
术语	语言学术语	
术语	机械工程术语	
术语	机械工程术语	汽车术语
术语	航空科技术语	
术语	文化术语	
术语	统计术语	
术语	数学术语	
术语	金融术语	
术语	金融术语	基金
术语	金融术语	股票
术语	金融术语	保险
术语	金融术语	银行卡
术语	大气科学术语	
术语	大气科学术语	台风
术语	计算机术语	
术语	ACGN术语	
术语	编码符号指标	
术语	地学术语	
术语	心理学术语	
术语	哲学术语	
术语	材料科学术语	
术语	游戏用语	
术语	游戏用语	麻将术语
术语	物理术语	
术语	通信术语	
生活用语		
生活用语	情绪	
生活用语	表情	
生活用语	个性特点	
生活用语	场景事件	
生活用语	态度	
生活用语	颜色	
生活用语	人物造型	
角色		
角色	人物	
角色	虚拟角色	
角色	民族族群	
词汇用语		
词汇用语	代词	
词汇用语	诗句	
词汇用语	汉字偏旁部首	
词汇用语	助词	
词汇用语	修饰词	
词汇用语	汉语拼音	
词汇用语	日文假名	
词汇用语	副词	
词汇用语	拟声词	
词汇用语	俗语	
词汇用语	量词	
词汇用语	叹词	
词汇用语	汉字	
词汇用语	肯定否定词	
词汇用语	介词	
词汇用语	数量词	
词汇用语	疑问词	
词汇用语	连词	
词汇用语	成语	
