type-1	type-2	type-3	说明	主要对应词性	subtype示例(开放集合)	src(C表示cb、E表示eb)
角色				n/普通名词;nr/人名	群体	C/E
角色	人物		人物类概念、人物类实体	nr/人名	职业角色、历史人物、行业人物	C/E
角色	民族族群		民族和族群		五十六个民族	C
角色	虚拟角色		非现实的角色		虚拟人物、虚拟生物	C/E
作品与出版物			作品类概念、作品类实体	nw/作品名	拓片	C/E
作品与出版物	游戏				电子游戏、视频小游戏、网页游戏	C/E
作品与出版物	影视动漫作品				视频作品	C/E
作品与出版物	影视动漫作品	动漫作品			漫画、动画	C/E
作品与出版物	影视动漫作品	影视作品			电影、电视剧	C/E
作品与出版物	影视动漫作品	视频节目			脱口秀节目、新闻类节目、访谈节目	C/E
作品与出版物	音乐				歌曲、音乐专辑	C/E
作品与出版物	小说				网络小说、言情小说	C/E
作品与出版物	诗歌				诗词	C/E
作品与出版物	计算机软件				工具软件、办公软件	C/E
作品与出版物	舞蹈					C/E
作品与出版物	美术				雕塑作品、油画作品、工艺美术作品	C/E
作品与出版物	图书				书籍、词典、教材	C/E
作品与出版物	刊物				报纸、期刊	C/E
作品与出版物	文件				文书	C/E
作品与出版物	作品IP					C/E
区域场所				ns/地名	宗教场所、建筑物	C/E
区域场所	景点				公园、植物园、动物园、博物馆	C/E
区域场所	楼盘住宅				商业楼盘、住宅楼盘、住宅小区	C/E
区域场所	交通场所				机场、车站、港口、交通道路、交通线路	C/E
区域场所	住宿场所				酒店、旅馆	C/E
区域场所	餐饮场所				咖啡馆、餐馆	C/E
区域场所	网上组织机构场所				网站、虚拟社区	C/E
位置方位			位置方位词	f/方位名词;s/处所名词		C
组织机构			组织机构类	nt/机构团体名	委员会、论坛	C/E
组织机构	演艺团体				乐队、艺术团、偶像组合	C/E
组织机构	国家机关				政府部门、党政机关	C/E
组织机构	企事业单位				公司、厂商、企业	C/E
组织机构	教育组织机构				学校、大学、幼儿园、培训机构	C/E
组织机构	居民服务机构				母婴护理机构、婚介机构、美容护理机构、家政服务机构	C/E
组织机构	医疗卫生机构				医院、药店、诊所、科室	C/E
组织机构	体育组织机构				运动队、体育俱乐部	C/E
组织机构	金融组织机构				银行、交易所、投资机构	C/E
组织机构	军事组织机构				部队、军区	C/E
品牌			品牌名	n/普通名词;nz/其他专名		C/E
品牌	汽车品牌					C/E
品牌	手机品牌					C/E
品牌	个护用品品牌				护肤品牌、彩妆品牌	C/E
物体与物品			包括物品和物质	n/普通名词;nz/其他专名	物体构造、化学物质	C/E
物体与物品	物品				飞机、船舶、轴承、摄影器材	C/E
物体与物品	物品	汽车				C/E
物体与物品	物品	手机				C/E
物体与物品	物品	美容美发用品			化妆品、美发用品	C/E
物体与物品	物品	电子电器产品			计算机、家用电器	C/E
物体与物品	物品	衣物饰品			服装、箱包、鞋靴、饰品配件	C/E
物体与物品	物品	兵器			武器、导弹、冷兵器..	C/E
物体与物品	设施					C/E
饮食			饮食类	n/普通名词;nz/其他专名	食材	C/E
饮食	菜品		菜品类		汤品、面食	C/E
饮食	饮品		饮品类		茶叶、酒、饮料和冷饮类	C/E
生物			生物类	n/普通名词;nz/其他专名		C
生物	动物		动物类		猫、狗、鸟纲、昆虫纲、鱼纲	C
生物	植物		植物类			C
生物	微生物		微生物类		真菌、细菌、生物病毒	C
世界地区			世界地区，包括地球外区域	ns/地名	首都、地球山脉、地球河流、地球岛屿、历史地区	C
世界地区	中国地区		中国地区		中国省级行政区、中国省会	C
世界地区	国家		现代意义的国家		现存国家、历史国家	C
虚拟事物			非现实事物	n/普通名词;nz/其他专名	虚拟场所、虚拟场景	C/E
虚拟事物	虚拟物品				虚拟宝物、游戏卡牌、游戏道具、游戏装备	C/E
文化			文化相关的特定类目	n/普通名词;nz/其他专名		C
文化	姓氏与人名				中文姓氏、英文姓氏	C
文化	语言文字				汉语、方言	C
文化	民俗				方术、数术、十二生肖、占星学星座、周易六十四卦	C
文化	政权朝代				历史政权、中国朝代	C
文化	制度政策协议					C/E
文化	奖项赛事活动				奖项、活动	C/E
事件			事件类	n/普通名词;nz/其他专名	展览、会议、案件、事故、战争	C/E
术语			领域术语、专名	nz/其他专名		C
术语	编码符号指标				价格、符号、信号、度量单位、邮政编码.....	C
术语	教育用语					C
术语	教育用语	学科				C
术语	教育用语	学历学位			学历、学位	C
术语	教育用语	专业				C
术语	游戏用语					C
术语	游戏用语	麻将术语				C
术语	医药学术语				中医术语、西医术语、医学指标、诊断治疗方法	C
术语	医药学术语	医疗美容项目				C
术语	医药学术语	药物			中药、西药	C
术语	医药学术语	疾病损伤			疾病、疾病症状	C
术语	医药学术语	动物疾病				C
术语	金融术语				股票术语、证券术语、保险术语、银行术语	C
术语	金融术语	股票				C/E
术语	金融术语	保险				C/E
术语	金融术语	基金				C/E
术语	金融术语	银行卡			借记卡、信用卡	C/E
术语	经济术语				会计术语	C
术语	法律术语					C
术语	法律术语	法律法规			法律体系、法律、法规	C/E
术语	法律术语	罪名				C
术语	体育术语				围棋术语、象棋术语、篮球术语	C
术语	体育术语	体育运动项目			球类运动、武术功夫	C
术语	赌博博彩用语				赌博用语	C
术语	赌博博彩用语	彩票				C
术语	天文学术语				星系、恒星	C
术语	天文学术语	星座			八十八星座	C
术语	天文学术语	星体			小行星	C
术语	生物学术语					C
术语	生物学术语	动物体构造			动物器官系统、骨	C
术语	生物学术语	植物病虫害			植物病害、植物虫害	C
术语	机械工程术语				机械制造术语	C
术语	机械工程术语	汽车术语				C
术语	大气科学术语				气象学术语、气候学术语	C
术语	大气科学术语	台风				C/E
术语	计算机术语				病毒程序、计算机网络术语、编程技术术语	C
术语	文化术语				摄影术语、音乐术语、文学术语	C
术语	数学术语				数学概念、数学公式、几何学术语	C
术语	物理术语				电学术语、力学术语	C
